Symbol,Last_Price,Volume_Avg,VWAP,Last_Updated
360ONE,1191.7,239316.08,1191.05,13:08:56
3MINDIA,28730.0,3120.08,28728.55,13:08:56
AADHARHFC,463.8,132217.57,463.44,13:08:56
AARTIIND,481.45,337593.64,481.11,13:08:56
AAVAS,1956.0,111834.86,1960.53,13:08:56
ABB,5886.5,89481.77,5882.78,13:08:56
ABBOTINDIA,35550.0,7269.62,35488.54,13:08:56
ABCAPITAL,273.4,1734757.71,272.92,13:08:56
ABFRL,77.39,6830585.0,77.52,13:09:01
ABREL,2377.3,24087.5,2386.98,13:09:01
ABSLAMC,811.4,230036.5,810.25,13:09:01
ACC,1958.7,305640.0,1958.28,13:09:01
ACE,1193.7,53841.67,1193.7,12:57:04
ACMESOLAR,249.58,198165.0,249.58,12:11:07
ADANIENSOL,870.7,0.0,870.7,Never
ADANIENT,2612.0,0.0,2612.0,Never
ADANIGREEN,1011.0,793471.43,1010.97,13:09:01
ADANIPORTS,1436.0,361465.33,1438.3,13:09:01
ADANIPOWER,586.85,2218205.21,587.0,13:09:01
AEGISLOG,755.05,217824.14,755.17,13:09:01
AFCONS,432.9,386640.86,433.1,13:09:01
AFFLE,2041.9,276129.08,2027.59,13:09:01
AIAENG,3307.1,48794.14,3311.82,13:09:01
AIIL,2671.4,101682.64,2635.42,13:09:01
AJANTPHARM,2614.9,79953.17,2617.49,13:09:04
AKUMS,575.2,73455.0,575.44,13:09:04
ALIVUS,1024.8,49333.0,1023.75,13:09:04
ALKEM,4825.0,91991.5,4825.0,13:02:58
ALKYLAMINE,2346.2,30471.0,2347.01,13:09:04
ALOKINDS,20.32,3100531.0,20.32,13:09:04
AMBER,7368.0,193904.0,7368.0,12:57:07
AMBUJACEM,588.15,1019940.0,587.97,12:51:11
ANANDRATHI,2103.6,31413.78,2094.96,13:09:04
ANANTRAJ,547.25,737984.4,548.06,13:09:04
ANGELONE,2933.8,248646.29,2933.7,13:09:04
APARINDS,8859.5,54080.29,8886.33,13:09:04
APLAPOLLO,1732.9,602258.57,1733.44,13:09:04
APLLTD,1001.4,321706.29,1001.37,13:09:04
APOLLOHOSP,7568.0,455282.21,7574.05,13:09:04
APOLLOTYRE,467.8,1339951.08,467.56,13:09:04
APTUS,322.05,148121.0,322.21,13:09:07
ARE&M,961.45,340753.8,959.38,13:09:04
ASAHIINDIA,838.8,1121388.0,838.8,13:09:07
ASHOKLEY,252.0,2713860.0,252.0,13:09:07
ASIANPAINT,2440.0,977153.25,2440.0,13:03:02
ASTERDM,633.75,9577947.0,633.75,12:57:11
ASTRAL,1493.6,103355.0,1493.6,12:39:13
ASTRAZEN,9085.0,31306.0,9086.23,12:57:11
ATGL,663.4,258761.57,663.91,13:03:02
ATUL,7605.0,35378.6,7585.55,13:09:07
AUBANK,811.8,2025783.79,812.56,13:09:07
AUROPHARMA,1147.8,714745.57,1151.69,13:09:07
AWL,257.55,402306.92,257.35,13:09:07
AXISBANK,1175.0,1898727.14,1174.72,13:09:07
BAJAJ-AUTO,8436.0,78343.0,8422.37,13:09:07
BAJAJFINSV,1985.7,601385.91,1982.41,13:09:08
BAJAJHFL,121.28,1847490.86,121.24,13:09:08
BAJAJHLDNG,14320.0,12540.33,14347.11,13:09:13
BAJFINANCE,914.8,4608027.67,914.41,13:09:13
BALKRISIND,2569.1,128282.5,2569.86,13:09:13
BALRAMCHIN,587.25,69799.0,587.25,13:09:13
BANDHANBNK,184.23,4105010.0,184.23,13:09:13
BANKBARODA,242.26,4092442.0,241.99,12:51:19
BANKINDIA,118.2,3660317.0,118.2,12:39:16
BASF,5152.5,22995.83,5149.13,13:03:05
BATAINDIA,1239.9,71820.11,1240.07,13:09:13
BAYERCROP,6429.5,26036.5,6423.73,13:09:13
BBTC,1990.6,16225.62,1991.34,13:09:13
BDL,1974.9,2360881.77,1970.27,13:09:13
BEL,428.0,7768016.77,427.74,13:09:13
BEML,4411.3,217812.54,4412.49,13:09:13
BERGEPAINT,600.05,416208.0,600.45,13:09:13
BHARATFORG,1310.9,1136043.71,1314.58,13:09:13
BHARTIARTL,2029.4,2858674.75,2030.65,13:09:16
BHARTIHEXA,1954.6,46603.0,1957.88,13:09:16
BHEL,259.0,2065542.0,259.04,13:09:16
BIKAJI,741.8,20123.5,741.54,12:57:17
BIOCON,373.05,2578707.5,372.82,12:51:22
BLS,363.8,446128.0,364.38,13:09:16
BLUEDART,6851.5,22992.0,6847.75,12:45:23
BLUESTARCO,1832.0,2068810.86,1835.35,13:03:09
BOSCHLTD,34135.0,62219.0,34097.89,13:09:16
BPCL,331.45,3314502.55,331.54,13:09:16
BRIGADE,1051.8,182353.46,1055.99,13:09:16
BRITANNIA,5827.0,107482.62,5836.11,13:09:16
BSE,2786.6,2092192.23,2785.68,13:09:16
BSOFT,441.65,451314.23,442.46,13:09:16
CAMPUS,270.2,106671.67,270.42,13:09:16
CAMS,4262.9,109113.67,4260.22,13:09:20
CANBK,114.02,7911626.67,114.0,13:09:16
CANFINHOME,815.25,189545.33,815.42,13:09:20
CAPLIPOINT,1998.8,41216.0,1999.62,13:09:20
CARBORUNIV,999.5,64429.5,999.75,13:09:20
CASTROLIND,221.97,1226458.0,222.27,13:09:20
CCL,882.0,344203.0,878.36,12:39:24
CDSL,1790.4,2168423.0,1790.4,12:39:24
CEATLTD,3698.6,48830.0,3699.59,13:03:17
CENTRALBK,39.61,5740990.5,39.5,13:09:20
CENTURYPLY,737.7,55528.18,737.42,13:09:20
CERA,6722.0,10945.25,6710.23,13:09:20
CESC,177.13,1129836.23,177.06,13:09:20
CGCL,166.65,1284198.5,166.85,13:09:20
CGPOWER,672.0,904131.69,672.8,13:09:20
CHALET,889.5,86594.92,890.77,13:09:20
CHAMBLFERT,559.25,543284.44,555.63,13:09:20
CHENNPETRO,715.7,5255698.17,714.34,13:09:23
CHOLAFIN,1537.9,2726162.25,1533.71,13:09:23
CHOLAHLDNG,2083.7,80189.67,2088.46,13:09:23
CIPLA,1508.7,254729.5,1508.32,13:09:23
CLEAN,1472.5,28175.5,1472.53,13:09:23
COALINDIA,386.9,2002121.5,386.76,12:45:31
COCHINSHIP,2025.1,947193.0,2025.1,12:39:28
COFORGE,1943.4,440105.75,1942.14,13:03:21
COHANCE,1003.05,229482.43,1001.18,13:09:23
COLPAL,2451.7,277343.2,2456.5,13:09:23
CONCOR,745.0,779043.0,745.33,13:09:23
CONCORDBIO,1750.0,67591.67,1754.35,13:09:23
COROMANDEL,2267.2,744972.91,2280.73,13:09:23
CRAFTSMAN,5793.0,8246.46,5780.55,13:09:23
CREDITACC,1243.3,85494.62,1247.61,13:09:23
CRISIL,6053.5,86258.78,6053.83,13:09:28
CROMPTON,351.2,783599.29,351.37,13:09:28
CUB,217.03,1566594.8,217.33,13:09:28
CUMMINSIND,3366.8,118185.0,3371.33,13:09:28
CYIENT,1299.5,188144.0,1299.82,13:09:28
DABUR,490.8,1082814.0,491.21,13:09:28
DALBHARAT,2207.0,180447.0,2204.89,13:03:24
DATAPATTNS,2982.0,179799.5,2980.5,12:51:32
DBREALTY,222.95,1067506.6,223.3,13:09:28
DCMSHRIRAM,1378.7,938403.14,1354.01,13:09:28
DEEPAKFERT,1733.4,290234.0,1734.36,13:09:28
DEEPAKNTR,1987.6,107496.82,1987.38,13:09:28
DELHIVERY,385.5,1821736.42,385.63,13:09:28
DEVYANI,164.0,981701.33,163.8,13:09:28
DIVISLAB,6900.0,179834.18,6896.4,13:09:28
DIXON,15192.0,229614.75,15163.99,13:09:28
DLF,830.95,868524.4,831.3,13:09:31
DMART,4361.6,1121009.2,4334.15,13:09:31
DOMS,2460.0,9493.8,2461.26,13:09:31
DRREDDY,1285.0,972544.83,1285.64,13:09:31
ECLERX,3480.2,13636.0,3479.57,13:03:29
EICHERMOT,5738.5,177030.5,5740.32,12:51:39
EIDPARRY,1110.2,111004.5,1110.27,12:51:39
EIHOTEL,369.75,138038.67,369.62,13:03:29
ELECON,644.05,147362.5,644.71,13:09:31
ELGIEQUIP,538.5,409057.75,539.1,13:09:31
EMAMILTD,562.7,167736.43,563.82,13:09:31
EMCURE,1283.0,128448.0,1283.04,13:09:31
ENDURANCE,2788.0,76506.33,2804.59,13:09:31
ENGINERSIN,235.09,1626893.25,235.02,13:09:31
ERIS,1700.1,247128.58,1702.04,13:09:31
ESCORTS,3367.1,47309.08,3371.48,13:09:31
ETERNAL,262.3,11652524.2,262.09,14:12:10
EXIDEIND,383.15,978331.75,383.05,13:09:31
FACT,953.1,117414.29,951.11,14:12:10
FEDERALBNK,216.87,2004799.5,217.03,14:12:10
FINCABLES,990.55,116649.0,987.45,13:03:35
FINPIPE,212.43,285263.33,213.38,14:12:10
FIRSTCRY,374.2,747572.0,374.12,12:51:44
FIVESTAR,775.5,767228.67,775.95,13:03:35
FLUOROCHEM,3541.7,26956.0,3535.25,13:03:35
FORTIS,795.55,540714.83,795.87,13:03:35
FSL,370.0,825447.29,370.29,13:03:35
GAIL,192.61,8489112.0,192.7,13:03:35
GESHIP,1010.0,799665.36,1012.03,13:03:35
GICRE,377.8,228573.3,378.37,13:03:35
GILLETTE,10815.0,7002.55,10805.69,13:03:35
GLAND,1877.0,342833.0,1874.63,13:03:39
GLAXO,3295.5,39752.14,3317.26,13:03:39
GLENMARK,1778.0,219887.0,1778.16,13:03:39
GMDCLTD,411.0,597787.71,411.62,13:03:39
GMRAIRPORT,88.88,14800246.0,88.92,12:57:38
GNFC,561.15,247843.5,560.73,12:57:38
GODFRYPHLP,8910.0,213662.67,8929.2,12:57:38
GODIGIT,337.85,95601.33,337.55,12:51:49
GODREJAGRO,788.2,106378.0,791.03,13:03:39
GODREJCP,1176.8,256167.0,1177.78,13:03:39
GODREJIND,1161.1,196836.33,1155.42,13:03:39
GODREJPROP,2272.6,302455.0,2275.12,13:03:39
GPIL,184.11,642604.09,184.85,13:03:39
GPPL,159.07,716455.83,159.18,13:03:39
GRANULES,494.0,270925.55,493.45,13:03:39
